name,address,link
Timeline School,"Kathmandu,  Kathmandu,  Gokarneshwar",https://nepalschoolmela.com/timelineschool
Budhanilkantha School,"Kathmandu,   Budhanilkantha",https://nepalschoolmela.com/budhanilkantaschool
Araniko Higher Secondary School,"Bhaktapur,  Bhaktapur,  Gamcha",https://nepalschoolmela.com/arnikoschool
Araniko International Academy,"Lalitpur,  Lalitpur,  Talchikhel",https://nepalschoolmela.com/aranikoacademy
Apollo International Academy,"Kathmandu,  Kathmandu,  Subidhanagar",https://nepalschoolmela.com/apolloacademy
Alpine Academy,"Kathmandu,   Kageshwori-4, Kathmandu",https://nepalschoolmela.com/alpineacademy
Annapurna English Secondary School,"Kathmandu,  Kathmandu,  Gairi Gaun",https://nepalschoolmela.com/annapurnaenglishschool
Annal Jyoti Boarding School,"Lalitpur,  Lalitpur,  Dholahiti-8",https://nepalschoolmela.com/annaljyotischool
Angel Montessori And Pre School,"Kathmandu,  Kathmandu,  Dhapasi",https://nepalschoolmela.com/angelmontessorischool
Ajaya Shikshya Sadan,"Lalitpur,   Thasikhel",https://nepalschoolmela.com/ajayaschool
Angel Lord Academy High School,"Kathmandu,  Kathmandu,  Himali Marga",https://nepalschoolmela.com/angellolardacademy
Akala Secondary School,"Gorkha,  Gorkha Municipality,  Ratmate",https://nepalschoolmela.com/akalaschool
Adarsha Yogahari Secondary School,"Kathmandu,  Kathmandu,  Lainchour",https://nepalschoolmela.com/adarshayogaharischool
Traibidya Shikchhya Sadan,"Kathmandu,  Kathmandu,  Shankhamul",https://nepalschoolmela.com/traibidya
Adwitiya Boarding High School,"Kathmandu,   Balaju, Kharibot,",https://nepalschoolmela.com/adwitiyaschool
Tri-Padma Vidyashram Higher Secondary School,"Lalitpur,  Lalitpur,  Pulchowk",https://nepalschoolmela.com/tripadmaschool
Adarsha Saula Yubak Secondary School,"Lalitpur,  Lalitpur,  Metropolitan-City-25 Sainbu",https://nepalschoolmela.com/adarshasaulaschool
Trilok Children`s Academy School,"Kathmandu,  Kathmandu,  Balaju",https://nepalschoolmela.com/Trilokschool
Adarsha Kanya Niketan Secondary School,"Lalitpur,   Mangal Bazar",https://nepalschoolmela.com/adarshakanyaschool
Trilochan Academy,"Lalitpur,  Lalitpur,  Tikhedewal",https://nepalschoolmela.com/trilochanacademy
Shree Tribhuvan Shanti High School,"Kaski,  Pokhara,  Lekhnath",https://nepalschoolmela.com/shreetribhuvanshantihighschool
Annapurna Secondary School,"Kathmandu,  Kathmandu,  Kamalachi",https://nepalschoolmela.com/annapurnaschool
Children Garden Academy,"Lalitpur,  Lalitpur,  Imadol",https://nepalschoolmela.com/childrengardenschool
Ideal Model Secondary School,"Lalitpur,   Jhamsikhel",https://nepalschoolmela.com/idealmodelschool
Akashganga International Academy,"Kathmandu,  Kathmandu,  kumarigal",https://nepalschoolmela.com/akashgangaacademy
Toran English Secondary School,"Lalitpur,  Lalitpur,  Bagdol",https://nepalschoolmela.com/toranschool
WITS ACADEMY,"Kathmandu,   Boudha-06",https://nepalschoolmela.com/witsacademy
Angle Academy School,"Kathmandu,  Kathmandu,  Dhapa-5",https://nepalschoolmela.com/angleacademy
Amar Shishu School,"Lalitpur,  Lalitpur,  Kupondole",https://nepalschoolmela.com/amarshishuschool
Ambrosia Ideal Secondary School,"Kathmandu,  Kathmandu,  Satungal",https://nepalschoolmela.com/aisschool
Adhyayan School,"Kathmandu,  Kathmandu,  Samakhusi Chowk, Tokha – 10",https://nepalschoolmela.com/adhyayanschool
Alpha Boarding School,"Kathmandu,  Kathmandu,  Lamachaur",https://nepalschoolmela.com/alphaschool
Advanced Academy,"Lalitpur,  Lalitpur,  Kupandole",https://nepalschoolmela.com/advancedacademy
Active Academy Boarding High School,"Kathmandu,  Kathmandu,  Basundhara",https://nepalschoolmela.com/activeacademyschool
Abhiyan Public School,"Kathmandu,  Kathmandu,  Balaju",https://nepalschoolmela.com/abhiyanschool
Tri-Jyoti Secondary School,"Kathmandu,  Kathmandu,  Kapan",https://nepalschoolmela.com/trijyotischool
THE WORLD YOUTH INTERNATIONAL SCHOOL,"Kathmandu,   Gokarneshwor-4",https://nepalschoolmela.com/worldyouthschool
Trust N Care Montessori School,"Kathmandu,  Kathmandu,  Nagarjun",https://nepalschoolmela.com/trustncaremontessori
Trungram International Academy,"Kathmandu,  Kathmandu,  Hattigauda",https://nepalschoolmela.com/trungramacademy
White Heaven Academy School,"Kathmandu,   Mitranagar",https://nepalschoolmela.com/whiteheavenacademy
Vinayak College of Health Science,"Kathmandu,   Gaushala, Battisputali,",https://nepalschoolmela.com/vinayakcollegeofhealthscience
Triyog High School,"Kathmandu,  Kathmandu,  Dhapasi",https://nepalschoolmela.com/triyogschool
Triveni Public School,"Kathmandu,  Kathmandu,",https://nepalschoolmela.com/trivenischool
Vajra Academy,"Lalitpur,  Lalitpur,  Godawari-13, Vajrabarahi",https://nepalschoolmela.com/vajraacademy
Adarshraj Memorial English Secondary School,"Surkhet,   Latikoili",https://nepalschoolmela.com/adarshrajmemorialschool
Unique Academy Secondary School,"Lalitpur,  Lalitpur,  Kumaripati",https://nepalschoolmela.com/uniqueschool
Delhi Public School,"Bara,   Lipnimal, Bara-44300",https://nepalschoolmela.com/delhipublicschool
RAI School,"Kathmandu,   Naxal ( Near Balmandir Compound )",https://nepalschoolmela.com/raischool
Rato Bangala School,"Lalitpur,   PATANDHOKA",https://nepalschoolmela.com/ratobangalaschool
United School Satdobato,"Lalitpur,  Lalitpur,  Satdobato",https://nepalschoolmela.com/unitedschool
Shikshantar school,"Kathmandu,   Airport road Sinamgal",https://nepalschoolmela.com/shikshantarschool
KENDRIYA VIDYALAYA,"Kathmandu,   Lazimpat",https://nepalschoolmela.com/kendriyavidyalaya
Valley View English School,"Kathmandu,  Kathmandu,  Mid-Baneshwor",https://nepalschoolmela.com/valleyview
Valley Public Secondary School,"Kathmandu,  Kathmandu,  Golfutar",https://nepalschoolmela.com/valleypublicsecondaryschool
KATHMANDU INTERNATIONAL STUDY CENTRE,"Kathmandu,   Jawalakhel, Patan",https://nepalschoolmela.com/kathmanduinternational
Birat Boarding School,"Kathmandu,   Sankhamool, New Baneshwor",https://nepalschoolmela.com/bbs
Uttar Bahini Boarding School,"Kathmandu,  Kathmandu,",https://nepalschoolmela.com/uttarbahinischool
Amar Kanti Secondary School,"Lalitpur,  Lalitpur,",https://nepalschoolmela.com/amarkantischool
Universal Higher Secondary School,"Kathmandu,  Kathmandu,  Dhumbarahi",https://nepalschoolmela.com/universalsecondaryschool
The British School,"Lalitpur,   Jhamsikhel",https://nepalschoolmela.com/tbs
Wits Academy School,"Kathmandu,  Kathmandu,  Boudha, Bhuwaldanda",https://nepalschoolmela.com/wits
Ananda Bhumi Secondary School,"Kathmandu,   Maitidevi",https://nepalschoolmela.com/anandabhumi
Suryodaya Jyoti Secondary Boarding School,"Kathmandu,   Maitidevi",https://nepalschoolmela.com/suryodayajyoti
Tulasi Mehar Memorial English Awasiya Secondary School,"Makwanpur,   Hetauda, Makwanpur",https://nepalschoolmela.com/tilasimehar
Diamond Public Academy,"Kanchanpur,   Gaddachauki, Kanchanpur",https://nepalschoolmela.com/diamondacademy
Mt. Manaslu Secondary School,"Sunsari,   Duhabi-04",https://nepalschoolmela.com/mountmanaslu
Star Secondary Boarding School,"Morang,   Biratnagar 03 (Puspalal Chowk)",https://nepalschoolmela.com/starsecondary
DAWN CHILDREN'S ENGLISH HIGH SCHOOL,"Rupandehi,   wn Village, Rupandehi",https://nepalschoolmela.com/dawncehs
Prisma School,"Kathmandu,  Nagarjun,  Kalanki",https://nepalschoolmela.com/prisma
Mount View English Boarding School,"Bhaktapur,   Anantalingeshwar, Balkot",https://nepalschoolmela.com/mountview
PREMIER INTERNATIONAL IB WORLD SCHOOL,"Lalitpur,   Khumaltar Height",https://nepalschoolmela.com/premierschool
"Pashupati Secondary School, Nepalgunj","Banke,   anjha, Nepalgunj",https://nepalschoolmela.com/pashupatischool
Moonlight  Secondary  School,"Lalitpur,   Kumaripati",https://nepalschoolmela.com/moonlight
Mount Glory English Boarding High School,"Kathmandu,   Chagal,Tahachal",https://nepalschoolmela.com/mountglory
Kanchan Secondary English School,"Lalitpur,",https://nepalschoolmela.com/kanchansecondaryschool
River Valley English Secondary School,"Palpa,   Tansen",https://nepalschoolmela.com/rivervlley
Sunsari St Xavier's Secondary boarding school,"Sunsari,",https://nepalschoolmela.com/sunsaristxaviers
Saraswati Secondary School,"Siraha,  Siraha Municipality,  Golbazar, Tetariya",https://nepalschoolmela.com/saraswatimodelschool
Evergreen Secondary Boarding School,"Rautahat,",https://nepalschoolmela.com/evergreenschool
Beacon English Secondary School,"Parsa,   Bhagawati Tole",https://nepalschoolmela.com/beaconschool
Kamal Devi Secondary English Boarding School,"Chitwan,",https://nepalschoolmela.com/kamaldevischool
Gothatar English Secondary School,"Kathmandu,   Kageshwori Manahara 8, Gothatar",https://nepalschoolmela.com/gothatarenglishschool
Namo Buddha Secondary School,"Kathmandu,   Shankhupatichaur -7,Etay Panauti Village",https://nepalschoolmela.com/namobuddha
Eden Bridge Academy,"Kathmandu,   Dhapasi Height-3",https://nepalschoolmela.com/edenbridgeacademy
Little Bud English Medium Secondary School,"Kathmandu,   Gokarneshwor-08",https://nepalschoolmela.com/littlebud
Ujjwal Shishu Niketan Academ,"Kathmandu,   Kirtipur",https://nepalschoolmela.com/ujjwalschool
Cambridge International Boarding Secondary School,"Kathmandu,   Kalanki Chowk- 14",https://nepalschoolmela.com/cambridgeschool
Munal Academy,"Dhading,   Gajuri-1",https://nepalschoolmela.com/munalacademy
Kalinchwok Secondary School,"Dolakha,   Charikot",https://nepalschoolmela.com/kalinchowkschool
Greenland Secondary School,"Sindhupalchowk,   balephi 8 lamosanghu",https://nepalschoolmela.com/gss
Manasalu Public Secondary School,"Kathmandu,   Nayabazaar",https://nepalschoolmela.com/manasluschool
Kopila English Secondary School,"Kathmandu,",https://nepalschoolmela.com/kopilaschool
Kaligandaki Academy ( Sec. English  B. School,"Parbat,",https://nepalschoolmela.com/kaligandaki
Nilgiri Boarding School,"Kaski,   पोखरा उप म.न.पा.-४,कास्की,गण्डकी",https://nepalschoolmela.com/nilgiri
Land Star English School,"Lamjung,",https://nepalschoolmela.com/landstar
Pragati Boarding School,"Kaski,",https://nepalschoolmela.com/pragatiboarding
Mukundasen Sec. School,"Nawalpur,",https://nepalschoolmela.com/rajgangaschool
Araniko English Medeum School,"Bardiya,",https://nepalschoolmela.com/aranikoenglish
Butwal Public School,"Rupandehi,",https://nepalschoolmela.com/butwalpublicschool
Daunnedevi  English School,"Parasi,",https://nepalschoolmela.com/daunnedevi
Rampur English Boarding School,"Palpa,",https://nepalschoolmela.com/rampurenglish
Namaste Lines E.B.S.,"Kapilvastu,",https://nepalschoolmela.com/namastelines
Gyan Jyoti E.B.S.,"Parasi,",https://nepalschoolmela.com/gyanjyotiEBS
Arghakhanchi Secondary Boarding School,"Arghakhanchi,",https://nepalschoolmela.com/arghakanchi
Little Angel School,"Dang,",https://nepalschoolmela.com/littleangel
PashupatiVidhyashram,"Dang,",https://nepalschoolmela.com/pashupatividhyashram
Gyan Jyoti E.B.S.,"Kapilvastu,",https://nepalschoolmela.com/gyanjyotikapilbastu
Future Light English School,"Nawalparasi,",https://nepalschoolmela.com/futurelight
"Deep  Boarding High School, Butwal","Rupandehi,",https://nepalschoolmela.com/deepboardinghigh
Bal Jyoti English School,"Kapilvastu,",https://nepalschoolmela.com/baljyotienglishschool
Kanika Nisa Higher Secondary School,"Jumla,",https://nepalschoolmela.com/kanikanisahigher
"M.S, Academy","Salyan,",https://nepalschoolmela.com/M.S.academy
Adarsharaj  Memoreal School,"Surkhet,",https://nepalschoolmela.com/adarsharaj
Lohore English Boarding School,"Dailekh,",https://nepalschoolmela.com/lohoreenglish
Milan English School,"Kailali,",https://nepalschoolmela.com/Milanenglishschool
Western Crystal Academy,"Kailali,",https://nepalschoolmela.com/westerncrystalacademy
Bhanu Memoreal English B. School,"Kailali,",https://nepalschoolmela.com/bhanumemorial
Seedling Zone School,"Kailali,",https://nepalschoolmela.com/seedingzone
Holy Family School,"Kanchanpur,",https://nepalschoolmela.com/holyfamily
Sharada Vidhya Niketan,"Kailali,",https://nepalschoolmela.com/sharadavidhya
Gurukul Academy,"Kailali,",https://nepalschoolmela.com/gurukulacademy
Hill Bird English Boarding School,"Kailali,",https://nepalschoolmela.com/hillbirdenglish
West Point Boarding School,"Kanchanpur,",https://nepalschoolmela.com/westpointboarding
Suryodayajyoti Secondary School,"Kathmandu,",https://nepalschoolmela.com/suryadoyajyoti
Global Collegiate School,"Kaski,",https://nepalschoolmela.com/collagecollegiate
Nawalpur Sec. School,"Nawalpur,",https://nepalschoolmela.com/nawalpursecschool
NK Singh Memoreal Secondary (EPS) School,"Kathmandu,",https://nepalschoolmela.com/nksingh123
Pushpasadan Boarding High  School,"Kathmandu,",https://nepalschoolmela.com/pushpasadan123
Batsyaan Secondary School,"Dang,",https://nepalschoolmela.com/pushpasadanboarding
Siddhartha Vidhya Mandir,"Kapilvastu,",https://nepalschoolmela.com/siddharthavidya
Adarsha Secondary Boarding School,"Morang,",https://nepalschoolmela.com/adarshasec123
Bal Kiran Eng. Sec. School,"Panchthar,",https://nepalschoolmela.com/balkiran123
Peaceland National Academy,"Ilam,",https://nepalschoolmela.com/peaceland123
Dev Ideal Eng. Boarding School,"Siraha,",https://nepalschoolmela.com/devidealeng
Greenland High School,"Kathmandu,",https://nepalschoolmela.com/greenlandhigh
Bright Future Secondary Boarding School,"Tanahun,",https://nepalschoolmela.com/brightfuture123
Sayapatri English School,"Parasi,",https://nepalschoolmela.com/sayapatri123
Siddhapaila  Eng. Medium Sec. School,"Surkhet,",https://nepalschoolmela.com/siddhapailaeng
Global Academy,"Kanchanpur,",https://nepalschoolmela.com/globalacademy
Gladstone Academy Thimi,"Bhaktapur,   Mill road, Thim",https://nepalschoolmela.com/gladstoneschool
DAV Sushil Kedia Vishwa Bharati,"Lalitpur,   Jawalakhel",https://nepalschoolmela.com/dskvb
SANSKRITI INTERNATIONAL SCHOOL,"Kathmandu,   Thulobharyang, Halchowk, Swayambhu",https://nepalschoolmela.com/sanskritischool
